,name,scores,latitude,longitude,url
10,Appart'hotel le Pèlerin,"8,4",48.6463114,7.3951882,https://www.booking.com/hotel/fr/tara.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=41480705_104169042_4_2_0&highlighted_blocks=41480705_104169042_4_2_0&matching_block_id=41480705_104169042_4_2_0&sr_pri_blocks=41480705_104169042_4_2_0__51300&from=searchresults#hotelTmpl
11,Paxton Paris MLV,"8,0",48.6463114,7.3951882,https://www.booking.com/hotel/fr/paxton-residence-spa.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=5426314_91902903_2_2_0&highlighted_blocks=5426314_91902903_2_2_0&matching_block_id=5426314_91902903_2_2_0&sr_pri_blocks=5426314_91902903_2_2_0__70880&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
12,La Maison Verneuil,"8,7",48.6463114,7.3951882,https://www.booking.com/hotel/fr/quarre-de-verneuil.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=476370319_380548582_4_2_0&highlighted_blocks=476370319_380548582_4_2_0&matching_block_id=476370319_380548582_4_2_0&sr_pri_blocks=476370319_380548582_4_2_0__36600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
13,Fuzei Hôtel Lorient-Lanester,"8,3",48.6463114,7.3951882,https://www.booking.com/hotel/fr/gwenva.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=186952202_357548506_2_34_0&highlighted_blocks=186952202_357548506_2_34_0&matching_block_id=186952202_357548506_2_34_0&sr_pri_blocks=186952202_357548506_2_34_0__42500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
14,"Brit Hotel, Spa & Restaurant - Colmar Est","8,5",48.6463114,7.3951882,https://www.booking.com/hotel/fr/relais-du-ried.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=5390913_88559342_0_2_0&highlighted_blocks=5390913_88559342_0_2_0&matching_block_id=5390913_88559342_0_2_0&sr_pri_blocks=5390913_88559342_0_2_0__112827&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
15,MOB House,"8,5",48.6463114,7.3951882,https://www.booking.com/hotel/fr/mob-house-paris.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=741767001_329183759_2_2_0&highlighted_blocks=741767001_329183759_2_2_0&matching_block_id=741767001_329183759_2_2_0&sr_pri_blocks=741767001_329183759_2_2_0__61625&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
16,MOB HOTEL Paris Les Puces,"8,0",48.6463114,7.3951882,https://www.booking.com/hotel/fr/mob-paris-les-puces.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=247760201_103125868_2_10_0&highlighted_blocks=247760201_103125868_2_10_0&matching_block_id=247760201_103125868_2_10_0&sr_pri_blocks=247760201_103125868_2_10_0__64350&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
17,Hotel Le Dauphin,"8,3",48.6463114,7.3951882,https://www.booking.com/hotel/fr/du-dauphin-honfleur.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=2251926_258856705_0_2_0&highlighted_blocks=2251926_258856705_0_2_0&matching_block_id=2251926_258856705_0_2_0&sr_pri_blocks=2251926_258856705_0_2_0__28000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
18,Edgar Suites - Meudon-la-Forêt,"9,3",48.6463114,7.3951882,https://www.booking.com/hotel/fr/edgar-suites-meudon-la-foret.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=871429601_362898322_4_0_0&highlighted_blocks=871429601_362898322_4_0_0&matching_block_id=871429601_362898322_4_0_0&sr_pri_blocks=871429601_362898322_4_0_0__37856&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
19,Hotel Eiffel Blomet,"8,7",48.6463114,7.3951882,https://www.booking.com/hotel/fr/eiffel-blomet.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=226407302_99106673_0_2_0&highlighted_blocks=226407302_99106673_0_2_0&matching_block_id=226407302_99106673_0_2_0&sr_pri_blocks=226407302_99106673_0_2_0__103300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
